Partei: Nr.;Partei: Kurzbezeichnung;Partei: Name;These: Nr.;These: Titel;These: These;Position: Position;Position: Begründung
7;SSW;Südschleswigscher Wählerverband;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Sicherheit findet ihre Grenzen, wenn zweifelhafte Verschärfungen, Überwachungen und Strafen nichts bewirken oder die Falschen treffen. Um den Gefahren durch Terrorismus oder organisierte Kriminalität effektiv entgegentreten zu können, brauchen wir eine wirksame, aber  maßvolle Sicherheitspolitik, die Voraussetzungen für die Bekämpfung von Kriminalität schafft, ohne Freiheitsrechte unnötig einzuschränken. Dafür braucht die Polizei eine geeignete technische Ausrüstung und genügend Einsatzkräfte.
8;FREIE WÄHLER;FREIE WÄHLER;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Eine offen erkennbare und transparente Videoüberwachung erhöht nicht nur das Sicherheitsgefühl in der Bevölkerung, sondern ist auch geeignet, potenzielle Straftäter von der Tatausführung abzuschrecken und die Beweisführung vor Gericht zu erleichtern. Eine automatisierte Gesichtserkennung auf Basis von KI-Programmen lehnen wir jedoch ab.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Wir lehnen den Einsatz von Gesichtserkennungssoftware in Verbindung mit Videoüberwachung ab. Diese Technologie greift massiv in Grundrechte wie Datenschutz und Privatsphäre ein, birgt Risiken wie Fehlidentifikationen und Diskriminierung und steht im Konflikt mit der informationellen Selbstbestimmung. Statt teurer Symbolpolitik setzen wir auf Präventionsarbeit und gezielte Maßnahmen zur Förderung von Sicherheit ohne Überwachung.
10;dieBasis;Basisdemokratische Partei Deutschland;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Automatisierte Gesichtserkennungssysteme ermöglichen die einfache und schnelle Überprüfung einer Identität, ohne dass die Betroffenen dies bemerken. Der Vorgang des Erkennens kann massenhaft auch aus der Ferne und nachträglich erfolgen. Beim Einsatz von biometrischen Überwachungssystemen werden unsere Grundrechte oft ohne Rechtsgrundlage und unverhältnismäßig eingeschränkt, da diese Systeme unsere Freiheit gefährden, ohne wesentlich zu einer größeren Sicherheit beizutragen.
11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Eine lückenlose Überwachung des öffentlichen und privaten Raums ist in Zukunft dringend angebracht. Künstliche Intelligenz ist dabei sicherlich sehr hilfreich und in der Regel auch nicht dümmer als natürliche Intelligenz (vgl. Markus Söder). Abgesehen davon sind auch wir als PARTEI dringend an Bewegungs- und Interessensprofilen aller Wähler interessiert, um daraus algorithmusgesteuerte Maßnahmen zur Verbesserung unserer Wahlergebnisse abzuleiten, notfalls auch mit angemessener Gewalt.
12;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Wir von der Gerechtigkeitspartei sehen diese Technologie kritisch, da sie erhebliche Datenschutzbedenken und Risiken für den Missbrauch in einem überbordenden Überwachungsstaat mit sich bringt. Wir setzen uns für den Schutz individueller Rechte und eine ausgewogene Technologiepolitik ein, die die Privatsphäre wahrt und unzulässige Überwachung verhindert.
13;PIRATEN;Piratenpartei Deutschland;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Automatisierte Verfahren haben eine höhere Fehlerquote als Menschen. Biometrische Daten zu diesem Zweck zu speichern verletzt den Grundsatz nur nötige persönliche Daten zu speichern und zu erheben.
14;Volt;Volt Deutschland;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Volts Lösungen sind evidenzbasiert, jedoch ist der Effekt und Nutzen von Gesichtserkennung in der Kriminalitätsprävention unklar.
15;ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Die Videoüberwachung schreckt keine Täter ab und die Gesichtserkennung dient nur der Strafverfolgung, nicht aber der Prävention, auf die es ankommt. Gleichzeitig wird in die Grund- und Persönlichkeitsrechte tausender Personen eingegriffen.
16;Verjüngungsforschung;Partei für Verjüngungsforschung;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;neutral;Unsere Partei hat hierzu keine Position. Das einzige Ziel der Partei für Verjüngungsforschung ist, die Entwicklung von Medizin zu beschleunigen, mit der Menschen durch Verjüngung tausende Jahre gesund leben können. Pro Tag sterben weltweit über 100.000 Menschen am Altern und damit verbundenen Alterskrankheiten. Zukünftige Medizin wird diese Menschenleben wahrscheinlich retten können. Dafür sollen 10% des Bundeshaushaltes pro Jahr zusätzlich in diesen Bereich investiert werden.
17;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Den Einsatz flächendeckender biometrischer Überwachung lehnen wir ab, da er alle Bürger unter Generalverdacht stellt und ein solcher Eingriff in die Freiheitsrechte unserer Auffassung nach nicht gerechtfertigt ist. Biometrische Technologien bergen erhebliche Risiken, wie bspw. hohe Fehlerquoten, Bias oder den unerlaubten Zugriff auf personenbezogene Daten. Deshalb sind wir der Überzeugung, dass solche biometrische Technologien streng reguliert werden müssen.
18;Bündnis C;Bündnis C - Christen für Deutschland;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;
19;BP;Bayernpartei;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;
20;MLPD;Marxistisch-Leninistische Partei Deutschlands;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Der Ausbau der staatlichen Überwachung der Bevölkerung muss abgelehnt werden. Unter dem Vorwand der Kriminalitätsbekämpfung hat die zunehmende staatliche Bespitzelung in Wirklichkeit den Zweck, zukünftige Massenproteste der Bevölkerung politisch zu unterdrücken.
21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Gesichtserkennung aus Videoaufnahmen ist aus mehreren Gründen problematisch: Erstens produziert diese Technologie viele Fehler, die enorme Folgen für die Betroffenen haben können. Zweitens stellt sie einen enormen Eingriff in die Privatsphäre unschuldiger Menschen dar. Zudem ist ihr Nutzen bei der Strafverfolgung bisher sehr zweifelhaft. MENSCHLICHE WELT setzt sich für die intensive Ausweitung von Kriminalitätsprävention an Stelle solch einer Ausweitung der Videoüberwachung ein.
22;PdF;Partei des Fortschritts;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Die automatisierte, flächendeckende und anlasslose Gesichtserkennung birgt erhebliche Risiken für Datenschutz und Grundrechte. Statt flächendeckender Überwachung sollten eine personelle Stärkung der Ermittlungsbehörden eingesetzt werden, um Sicherheit und Datenschutz zu gewährleisten.
23;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Der Ausbau des Überwachungs- und Polizeistaats richtet sich gegen die wachsende Opposition gegen Krieg, Militarismus und soziale Ungleichheit in der Bevölkerung. Die Rückkehr des deutschen Militarismus, die horrende Aufrüstung und die ständige Verschlechterung der Arbeits- und Lebensbedingungen sind mit Demokratie nicht vereinbar. Um demokratische Grundrechte zu verteidigen, ist eine unabhängige Bewegung der Arbeiterklasse gestützt auf ein sozialistisches Programm notwendig.
24;BüSo;Bürgerrechtsbewegung Solidarität;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;
25;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;neutral;Aber nicht grundsätzlich. Die meisten sind rechtschaffene Bürger. Soweit Personen in den Fahndungscomputern der Bundespolizei insbesondere mit einem Foto erfasst sind, sollte auch die automatisierte Gesichtserkennung an Bahnhöfen genutzt werden dürfen, um diese baldmöglichst zu verhaften. Vielleicht erinnern sich Manche in diesem Kontext an die Zeit der Pandemie, die uns teils erhebliche Freiheitseinschränkungen brachte. Missbrauch ist deshalb zu verhindern.
26;BSW;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;neutral;
27;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Ein automatisierter Einsatz von Gesichtserkennungstechnologie stellt einen Eingriff in das Recht auf Privatsphäre dar. Der Einsatz in Echtzeit erfasst und analysiert alle vorbeikommenden Menschen ohne einen individualisierten und begründeten Verdacht. Auch andere Einsätze sind menschenrechtlich höchst problematisch: Die Trainingsmethoden verstärken diskriminierende Stereotypen, die Programme arbeiten fehlerhaft und bergen die Gefahr einer unkontrollierbaren Erweiterung ihres Einsatzgebietes.
28;WerteUnion;WerteUnion;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Die WerteUnion lehnt die automatisierte Gesichtserkennung ab, da sie die Überwachung aller Bürger nach sich zieht. Wir treten für die Wahrung von Anonymität im öffentlichen Raum ein.
1;SPD;Sozialdemokratische Partei Deutschlands;8;Energieintensive Unternehmen;Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.;stimme zu;Wir wollen schnell handeln, um Arbeitsplätze zu sichern und die Wirtschaft zu stärken. Dafür braucht es wettbewerbsfähige Strompreise für die Industrie und bezahlbare Preise für Privathaushalte. Die Stromkosten haben verschiedene Bestandteile, die wir mit unserem Vorschlag gezielt angehen: Die Kosten für den Ausbau der Stromnetze, die die Verbraucher*innen zu tragen haben, wollen wir deckeln. Die Stromsteuersenkung für das produzierende Gewerbe und die Landwirtschaft soll dauerhaft gelten.
2;CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;8;Energieintensive Unternehmen;Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.;stimme zu;CDU und CSU wollen die Rahmenbedingungen am Standort Deutschland verbessern. Dafür werden wir nicht nur die Industrieunternehmen beim Strompreis entlasten, sondern auch Handwerks- und Dienstleistungsunternehmen sowie Haushalte. Kurzum: Wenn wir die Energiepreise für alle in Deutschland durch eine Reduktion der Netzentgelte und der Stromsteuer senken, profitieren alle.
3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;8;Energieintensive Unternehmen;Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.;stimme zu;Unser Anspruch ist es, dass Deutschland ein starker Industriestandort bleibt, um Arbeitsplätze und Wertschöpfung zu sichern. Eine sichere, saubere und bezahlbare Energieversorgung ist ein entscheidender Standortfaktor. Durch den Ausbau der Erneuerbaren werden die Strompreise sinken. Bis es so weit ist, setzen wir uns für eine Strompreiskompensation für energieintensive Unternehmen ein, die im globalen Wettbewerb sind.
4;FDP;Freie Demokratische Partei;8;Energieintensive Unternehmen;Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.;stimme nicht zu;Wir Freie Demokraten wollen die Stromsteuer in einem ersten Schritt auf das EU-Mindestmaß absenken und werden uns auf europäischer Ebene für ihre Abschaffung einsetzen. Anders als bei einem Industriestrompreis gibt es dabei keine Wettbewerbsverzerrung zwischen Mittelstand und Industrie. Zudem wollen wir die Netzentgelte als großen Treiber der Stromkosten umfassend reformieren. Denn die hohen Energiekosten in Deutschland stellen einen großen Wettbewerbsnachteil für den Wirtschaftsstandort dar.
5;AfD;Alternative für Deutschland;8;Energieintensive Unternehmen;Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.;stimme nicht zu;Wir wollen unseren zukünftigen Energiemix ideologiefrei und technologieoffen gestalten und uns dafür günstige Energiequellen erschließen. Das schließt die Wiederinbetriebnahme von Atomkraftwerken und günstiges Pipeline-Gas mit ein. Wir wollen auf diese Weise wieder zu international wettbewerbsfähigen Energie- und Stromkosten gelangen. Zudem werden wir die Energiesteuern stark senken und die CO2-Abgabe komplett abschaffen. Eine Bezuschussung der Stromkosten von Unternehmen erübrigt sich damit.
6;Die Linke;Die Linke;8;Energieintensive Unternehmen;Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.;stimme zu;Wir fordern, dass energieintensive Industrie im Umbau u.a. mit einem günstigen Strompreis unterstützt wird. Das wollen wir aus dem Klima- und Transformationsfonds finanzieren, mit dem wir den klimagerechten Umbau der Wirtschaft fördern wollen.
7;SSW;Südschleswigscher Wählerverband;8;Energieintensive Unternehmen;Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.;stimme zu;Wir wollen, dass gerade die energieintensiven Unternehmen von der günstigen grünen Energie profitieren. Dafür muss günstige Energie für Unternehmen besser verfügbar gemacht werden. Insgesamt müssen die Energiepreise sinken. Wir müssen die Bedingungen dafür schaffen, dass wir gute Industriearbeitsplätze für das 21. Jahrhundert erhalten und hinzubekommen. Bei Ansiedlungen von energieintensiven Industrien wollen wir die direkte Nutzung von Windstrom erleichtern.
8;FREIE WÄHLER;FREIE WÄHLER;8;Energieintensive Unternehmen;Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.;stimme zu;Um auch weiterhin eine zukunftssichere Wirtschaftsentwicklung mit einem stabilen Arbeitsmarkt in unserem Land zu garantieren, kommt es darauf an, die Standortfaktoren zu stärken und endlich die hohe Steuerbelastung anzupacken. Wir brauchen eine Steuerentlastung, eine angebotsorientierte Energiepolitik und einen wettbewerbsfähigen Industriestrompreis.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;8;Energieintensive Unternehmen;Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.;stimme nicht zu;Wir lehnen finanzielle Ausgleiche für stromkostenintensive Unternehmen ab, da dies Anreize für umweltschädliches Verhalten schafft und die Allgemeinheit belastet. Stattdessen sollten Unternehmen dazu verpflichtet werden, in energieeffiziente und klimafreundliche Technologien zu investieren. Nachhaltigkeit muss Vorrang vor kurzsichtigen ökonomischen Vorteilen haben.
